iter	Passed	Remaining
0	1	167
1	3	156
2	4	147
3	5	135
4	7	133
5	8	132
6	9	131
7	11	129
8	12	128
9	14	127
10	15	125
11	16	123
12	18	122
13	19	122
14	21	121
15	22	120
16	24	118
17	25	117
18	27	115
19	28	114
20	29	112
21	31	110
22	32	108
23	33	107
24	35	105
25	36	104
26	37	102
27	39	101
28	40	99
29	42	98
30	43	96
31	44	95
32	46	93
33	47	92
34	49	91
35	50	89
36	52	88
37	53	87
38	55	86
39	56	84
40	57	83
41	58	80
42	59	79
43	61	78
44	62	76
45	64	75
46	65	73
47	66	72
48	68	71
49	69	69
50	70	68
51	72	66
52	73	65
53	75	64
54	76	62
55	77	61
56	79	59
57	80	58
58	81	56
59	83	55
60	84	54
61	85	52
62	87	51
63	88	49
64	90	48
65	91	47
66	92	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	102	35
74	103	34
75	105	33
76	106	31
77	107	30
78	109	29
79	110	27
80	112	26
81	113	24
82	115	23
83	116	22
84	117	20
85	119	19
86	120	17
87	121	16
88	123	15
89	124	13
90	125	12
91	127	11
92	128	9
93	130	8
94	131	6
95	132	5
96	134	4
97	135	2
98	137	1
99	138	0
